publication	class	subject	voicing	pair	vowel_duration	target	acoustic_cue	dur
Baer_Henney_unpublished	tut5	PaMe	voiceless	alveolar_a	0.238649168	alveolar a	preceding vowel duration in ms	238.6491683
Baer_Henney_unpublished	tut4	SvBo	voiceless	alveolar_a	0.234640524	alveolar a	preceding vowel duration in ms	234.6405235
Baer_Henney_unpublished	tut4	SvBo	voiceless	alveolar_a	0.154245619	alveolar a	preceding vowel duration in ms	154.245619
Baer_Henney_unpublished	tut3	MaKo	voiced	alveolar_a	0.211806622	alveolar a	preceding vowel duration in ms	211.8066217
Baer_Henney_unpublished	tut7	AnHu	voiced	alveolar_a	0.164582979	alveolar a	preceding vowel duration in ms	164.5829787
Baer_Henney_unpublished	tut7	BeNi	voiced	alveolar_a	0.112206762	alveolar a	preceding vowel duration in ms	112.2067617
Baer_Henney_unpublished	tut7	BeNi	voiced	alveolar_a	0.112206762	alveolar a	preceding vowel duration in ms	112.2067617
Baer_Henney_unpublished	tut1	CaMu	voiced	alveolar_a	0.202883031	alveolar a	preceding vowel duration in ms	202.8830313
Baer_Henney_unpublished	tut9	EdGr	voiced	alveolar_a	0.118078154	alveolar a	preceding vowel duration in ms	118.0781539
Baer_Henney_unpublished	tut7	FrSc	voiced	alveolar_a	0.287877996	alveolar a	preceding vowel duration in ms	287.8779963
Baer_Henney_unpublished	tut1	HaSa	voiced	alveolar_a	0.116098884	alveolar a	preceding vowel duration in ms	116.0988835
Baer_Henney_unpublished	tut8	JeHa	voiced	alveolar_a	0.138387386	alveolar a	preceding vowel duration in ms	138.3873856
Baer_Henney_unpublished	tut7	JuSo	voiced	alveolar_a	0.155811768	alveolar a	preceding vowel duration in ms	155.8117677
Baer_Henney_unpublished	tut1	KaTh	voiced	alveolar_a	0.190202842	alveolar a	preceding vowel duration in ms	190.2028418
Baer_Henney_unpublished	tut6	MaHo	voiced	alveolar_a	0.12984314	alveolar a	preceding vowel duration in ms	129.8431398
Baer_Henney_unpublished	tut7	MaMe	voiced	alveolar_a	0.237047865	alveolar a	preceding vowel duration in ms	237.0478648
Baer_Henney_unpublished	tut7	MaRe	voiced	alveolar_a	0.19476471	alveolar a	preceding vowel duration in ms	194.7647096
Baer_Henney_unpublished	tut9	MaRo	voiced	alveolar_a	0.151728	alveolar a	preceding vowel duration in ms	151.7279998
Baer_Henney_unpublished	tut7	MiMi	voiced	alveolar_a	0.251907586	alveolar a	preceding vowel duration in ms	251.9075857
Baer_Henney_unpublished	tut6	MlHa	voiced	alveolar_a	0.212099733	alveolar a	preceding vowel duration in ms	212.0997325
Baer_Henney_unpublished	tut7	SaBa	voiced	alveolar_a	0.217639532	alveolar a	preceding vowel duration in ms	217.6395321
