publication	class	subject	Item	voicing	pair	dur
Baer_Henney_unpublished_2017	tut1	LeKa	alveaolar-voiced-7-u	voiced	alveolar_u	0.311862429
Baer_Henney_unpublished_2017	tut1	AnFo	alveolar-voiced-1-a	voiced	alveolar_a	0.279048963
Baer_Henney_unpublished_2017	tut1	MeNa	alveolar-voiced-1-a	voiced	alveolar_a	0.525912526
Baer_Henney_unpublished_2017	tut1	MoKl	alveolar-voiced-1-a	voiced	alveolar_a	0.196442215
Baer_Henney_unpublished_2017	tut1	LeKa	alveolar-voiced-1-e	voiced	alveolar_e	0.280927476
Baer_Henney_unpublished_2017	tut1	JeRa	alveolar-voiced-1-i	voiced	alveolar_i	0.07652452
Baer_Henney_unpublished_2017	tut1	JeRa	alveolar-voiced-10-i	voiced	alveolar_i	0.051016347
Baer_Henney_unpublished_2017	tut1	AnFo	alveolar-voiced-10-u	voiced	alveolar_u	0.217234319
Baer_Henney_unpublished_2017	tut1	LeKa	alveolar-voiced-10-u	voiced	alveolar_u	0.268898819
Baer_Henney_unpublished_2017	tut1	MoKl	alveolar-voiced-10-u	voiced	alveolar_u	0.205474041
Baer_Henney_unpublished_2017	tut1	RoLa	alveolar-voiced-10-u	voiced	alveolar_u	0.130812015
Baer_Henney_unpublished_2017	tut1	MeNa	alveolar-voiced-10-y	voiced	alveolar_y	0.34029634
Baer_Henney_unpublished_2017	tut1	JeRa	alveolar-voiced-11-o	voiced	alveolar_o	0.086165423
Baer_Henney_unpublished_2017	tut1	AnFo	alveolar-voiced-11-u	voiced	alveolar_u	0.208109301
Baer_Henney_unpublished_2017	tut1	LeKa	alveolar-voiced-11-u	voiced	alveolar_u	0.321723594
Baer_Henney_unpublished_2017	tut1	MeNa	alveolar-voiced-11-u	voiced	alveolar_u	0.433104744
Baer_Henney_unpublished_2017	tut1	MoKl	alveolar-voiced-11-u	voiced	alveolar_u	0.071420013
