publication	manner_articulation	acoustic_cue	voicing	dur	elicitation_method	material	prosodic_position	environment	note
Charles-Luce_1984	dental stops (averaged over 2 words)	preceding vowel duration in ms	voiced	197	read list	embedded	word-final	_C#V	averaged over 5 speakers, 2 words and 5 repetitions
Charles_Luce_1984	dental stops (averaged over 2 words)	preceding vowel duration in ms	voiced	206	read list	embedded	phrase-final	_C#V	averaged over 5 speakers, 2 words and 5 repetitions
Charles_Luce_1984	dental stops (averaged over 2 words)	preceding vowel duration in ms	voiced	184	read list	embedded	word-final	_C#C	averaged over 5 speakers, 2 words and 5 repetitions
Charles_Luce_1984	dental stops (averaged over 2 words)	preceding vowel duration in ms	voiced	194	read list	embedded	phrase-final	_C#C	averaged over 5 speakers, 2 words and 5 repetitions
Charles_Luce_1984	dental stops (averaged over 2 words)	preceding vowel duration in ms	voiceless	205	read list	embedded	word-final	_C#V	averaged over 5 speakers, 2 words and 5 repetitions
Charles_Luce_1984	dental stops (averaged over 2 words)	preceding vowel duration in ms	voiceless	210	read list	embedded	phrase-final	_C#V	averaged over 5 speakers, 2 words and 5 repetitions
Charles_Luce_1984	dental stops (averaged over 2 words)	preceding vowel duration in ms	voiceless	197	read list	embedded	word-final	_C#C	averaged over 5 speakers, 2 words and 5 repetitions
Charles_Luce_1984	dental stops (averaged over 2 words)	preceding vowel duration in ms	voiceless	211	read list	embedded	phrase-final	_C#C	averaged over 5 speakers, 2 words and 5 repetitions
Charles_Luce_1984	alveolar sibilants (averaged over 2 words)	preceding vowel duration in ms	voiced	292	read list	embedded	word-final	_C#V	averaged over 5 speakers, 2 words and 5 repetitions
Charles_Luce_1984	alveolar sibilants (averaged over 2 words)	preceding vowel duration in ms	voiced	309	read list	embedded	phrase-final	_C#V	averaged over 5 speakers, 2 words and 5 repetitions
Charles_Luce_1984	alveolar sibilants (averaged over 2 words)	preceding vowel duration in ms	voiced	288	read list	embedded	word-final	_C#C	averaged over 5 speakers, 2 words and 5 repetitions
Charles_Luce_1984	alveolar sibilants (averaged over 2 words)	preceding vowel duration in ms	voiced	304	read list	embedded	phrase-final	_C#C	averaged over 5 speakers, 2 words and 5 repetitions
Charles_Luce_1984	alveolar sibilants (averaged over 2 words)	preceding vowel duration in ms	voiceless	290	read list	embedded	word-final	_C#V	averaged over 5 speakers, 2 words and 5 repetitions
Charles_Luce_1984	alveolar sibilants (averaged over 2 words)	preceding vowel duration in ms	voiceless	298	read list	embedded	phrase-final	_C#V	averaged over 5 speakers, 2 words and 5 repetitions
Charles_Luce_1984	alveolar sibilants (averaged over 2 words)	preceding vowel duration in ms	voiceless	282	read list	embedded	word-final	_C#C	averaged over 5 speakers, 2 words and 5 repetitions
Charles_Luce_1984	alveolar sibilants (averaged over 2 words)	preceding vowel duration in ms	voiceless	295	read list	embedded	phrase-final	_C#C	averaged over 5 speakers, 2 words and 5 repetitions
