publication	study	subject	stimuli	pair	acoustic_cue	voicing	dur	sd	note	N
Fourakis_Iverson_1984	2	1	Alb	1	preceding vowel duration in ms	voiced	282	17	mean of 6 productions	6
Fourakis_Iverson_1984	2	2	Alb	1	preceding vowel duration in ms	voiced	221	7	mean of 6 productions	6
Fourakis_Iverson_1984	2	3	Alb	1	preceding vowel duration in ms	voiced	220	21	mean of 6 productions	6
Fourakis_Iverson_1984	2	4	Alb	1	preceding vowel duration in ms	voiced	222	12	mean of 6 productions	6
Fourakis_Iverson_1984	2	1	Alp	1	preceding vowel duration in ms	voiceless	281	38	mean of 6 productions	6
Fourakis_Iverson_1984	2	2	Alp	1	preceding vowel duration in ms	voiceless	215	33	mean of 6 productions	6
Fourakis_Iverson_1984	2	3	Alp	1	preceding vowel duration in ms	voiceless	200	33	mean of 6 productions	6
Fourakis_Iverson_1984	2	4	Alp	1	preceding vowel duration in ms	voiceless	180	8	mean of 6 productions	6
Fourakis_Iverson_1984	2	1	Bad	2	preceding vowel duration in ms	voiced	301	23	mean of 6 productions	6
Fourakis_Iverson_1984	2	2	Bad	2	preceding vowel duration in ms	voiced	266	30	mean of 6 productions	6
Fourakis_Iverson_1984	2	3	Bad	2	preceding vowel duration in ms	voiced	285	27	mean of 6 productions	6
Fourakis_Iverson_1984	2	4	Bad	2	preceding vowel duration in ms	voiced	NA	NA	mean of 6 productions	6
Fourakis_Iverson_1984	2	1	bat	2	preceding vowel duration in ms	voiceless	317	15	mean of 6 productions	6
Fourakis_Iverson_1984	2	2	bat	2	preceding vowel duration in ms	voiceless	230	29	mean of 6 productions	6
Fourakis_Iverson_1984	2	3	bat	2	preceding vowel duration in ms	voiceless	216	16	mean of 6 productions	6
Fourakis_Iverson_1984	2	4	bat	2	preceding vowel duration in ms	voiceless	NA	NA	mean of 6 productions	6
Fourakis_Iverson_1984	1	1	briet	3	preceding vowel duration in ms	voiceless	118	16	mean of 6 productions	6
Fourakis_Iverson_1984	1	2	briet	3	preceding vowel duration in ms	voiceless	142	13	mean of 6 productions	6
Fourakis_Iverson_1984	1	3	briet	3	preceding vowel duration in ms	voiceless	130	21	mean of 6 productions	6
Fourakis_Iverson_1984	1	4	briet	3	preceding vowel duration in ms	voiceless	195	4	mean of 6 productions	6
