publication	subject	experiment	dur	voicing	stimuli	pair
Fuchs_2005	cg	ema	189.87	voiced	gedaad	aa
Fuchs_2005	cg	ema	178.56	voiced	gedaad	aa
Fuchs_2005	cg	ema	184.19	voiced	gedaad	aa
Fuchs_2005	cg	ema	177.5	voiced	gedaad	aa
Fuchs_2005	cg	ema	200.31	voiced	gedaad	aa
Fuchs_2005	cg	ema	184.56	voiced	gedaad	aa
Fuchs_2005	cg	ema	184.75	voiced	gedaad	aa
Fuchs_2005	cg	ema	206.62	voiced	gedaad	aa
Fuchs_2005	cg	ema	179.25	voiced	gedaad	aa
Fuchs_2005	cg	ema	198.19	voiced	gedaad	aa
Fuchs_2005	cg	pgg	195	voiced	gedaad	aa
Fuchs_2005	cg	pgg	169	voiced	gedaad	aa
Fuchs_2005	cg	pgg	174.87	voiced	gedaad	aa
Fuchs_2005	cg	pgg	173	voiced	gedaad	aa
Fuchs_2005	cg	pgg	193	voiced	gedaad	aa
Fuchs_2005	jd	ema	193	voiced	gedaad	aa
Fuchs_2005	jd	ema	164	voiced	gedaad	aa
Fuchs_2005	jd	ema	215	voiced	gedaad	aa
Fuchs_2005	jd	ema	184	voiced	gedaad	aa
Fuchs_2005	jd	ema	175	voiced	gedaad	aa
Fuchs_2005	jd	ema	180	voiced	gedaad	aa
Fuchs_2005	jd	ema	187	voiced	gedaad	aa
Fuchs_2005	jd	ema	179	voiced	gedaad	aa
Fuchs_2005	jd	ema	173	voiced	gedaad	aa
Fuchs_2005	jd	ema	206	voiced	gedaad	aa
Fuchs_2005	jd	pgg	163.5	voiced	gedaad	aa
Fuchs_2005	jd	pgg	150.17	voiced	gedaad	aa
Fuchs_2005	jd	pgg	152.25	voiced	gedaad	aa
Fuchs_2005	jd	pgg	148.5	voiced	gedaad	aa
Fuchs_2005	jd	pgg	151.62	voiced	gedaad	aa
Fuchs_2005	sf	ema	147.25	voiced	gedaad	aa
Fuchs_2005	sf	ema	138.44	voiced	gedaad	aa
Fuchs_2005	sf	ema	146.19	voiced	gedaad	aa
Fuchs_2005	sf	ema	138.69	voiced	gedaad	aa
Fuchs_2005	sf	ema	160.5	voiced	gedaad	aa
Fuchs_2005	sf	ema	148.87	voiced	gedaad	aa
Fuchs_2005	sf	ema	148.12	voiced	gedaad	aa
Fuchs_2005	sf	ema	137.44	voiced	gedaad	aa
Fuchs_2005	sf	ema	146	voiced	gedaad	aa
Fuchs_2005	sf	ema	149.87	voiced	gedaad	aa
Fuchs_2005	sf	pgg	149	voiced	gedaad	aa
Fuchs_2005	sf	pgg	144.46	voiced	gedaad	aa
Fuchs_2005	sf	pgg	132.12	voiced	gedaad	aa
Fuchs_2005	sf	pgg	157.33	voiced	gedaad	aa
Fuchs_2005	sf	pgg	145	voiced	getaat	aa
Fuchs_2005	cg	ema	171.69	voiceless	getaat	aa
Fuchs_2005	cg	ema	173.12	voiceless	getaat	aa
Fuchs_2005	cg	ema	155.37	voiceless	getaat	aa
Fuchs_2005	cg	ema	168.25	voiceless	getaat	aa
Fuchs_2005	cg	ema	168.94	voiceless	getaat	aa
Fuchs_2005	cg	ema	151.62	voiceless	getaat	aa
Fuchs_2005	cg	ema	163.12	voiceless	getaat	aa
Fuchs_2005	cg	ema	148.75	voiceless	getaat	aa
Fuchs_2005	cg	ema	165.62	voiceless	getaat	aa
Fuchs_2005	cg	ema	156.06	voiceless	getaat	aa
Fuchs_2005	cg	pgg	105	voiceless	getaat	aa
Fuchs_2005	cg	pgg	125.08	voiceless	getaat	aa
Fuchs_2005	cg	pgg	140.58	voiceless	getaat	aa
Fuchs_2005	cg	pgg	148.5	voiceless	getaat	aa
Fuchs_2005	cg	pgg	128.67	voiceless	getaat	aa
Fuchs_2005	jd	ema	170	voiceless	getaat	aa
Fuchs_2005	jd	ema	161	voiceless	getaat	aa
Fuchs_2005	jd	ema	174	voiceless	getaat	aa
Fuchs_2005	jd	ema	146	voiceless	getaat	aa
Fuchs_2005	jd	ema	148	voiceless	getaat	aa
Fuchs_2005	jd	ema	135	voiceless	getaat	aa
Fuchs_2005	jd	ema	148	voiceless	getaat	aa
Fuchs_2005	jd	ema	161	voiceless	getaat	aa
Fuchs_2005	jd	ema	149	voiceless	getaat	aa
Fuchs_2005	jd	ema	167	voiceless	getaat	aa
Fuchs_2005	jd	pgg	155	voiceless	getaat	aa
Fuchs_2005	jd	pgg	147.04	voiceless	getaat	aa
Fuchs_2005	jd	pgg	120	voiceless	getaat	aa
Fuchs_2005	jd	pgg	143.5	voiceless	getaat	aa
Fuchs_2005	jd	pgg	144.79	voiceless	getaat	aa
Fuchs_2005	sf	ema	96.37	voiceless	getaat	aa
Fuchs_2005	sf	ema	104.87	voiceless	getaat	aa
Fuchs_2005	sf	ema	105.06	voiceless	getaat	aa
Fuchs_2005	sf	ema	102.25	voiceless	getaat	aa
Fuchs_2005	sf	ema	93.12	voiceless	getaat	aa
Fuchs_2005	sf	ema	83.06	voiceless	getaat	aa
Fuchs_2005	sf	ema	116.62	voiceless	getaat	aa
Fuchs_2005	sf	ema	128.62	voiceless	getaat	aa
Fuchs_2005	sf	ema	116.31	voiceless	getaat	aa
Fuchs_2005	sf	ema	96.69	voiceless	getaat	aa
Fuchs_2005	sf	pgg	97	voiceless	getaat	aa
Fuchs_2005	sf	pgg	105.83	voiceless	getaat	aa
Fuchs_2005	sf	pgg	78.58	voiceless	getaat	aa
Fuchs_2005	sf	pgg	98.54	voiceless	getaat	aa
