publication	population	subject	target	stimspk	pair	stimtype	stopp	place	voicing	vowel	acoustic_cue	dur
Grawunder_2014	German	SF01	Schrieke	M1	P1	Standard	k	velar	voiceless	i	preceding vowel duration in ms	118
Grawunder_2014	German	SF01	Schriege	M1	P1	Standard	g	velar	voiced	i	preceding vowel duration in ms	110
Grawunder_2014	German	SF02	Schrieke	M1	P1	Standard	k	velar	voiceless	i	preceding vowel duration in ms	98
Grawunder_2014	German	SF02	Schriege	M1	P1	Standard	g	velar	voiced	i	preceding vowel duration in ms	158
Grawunder_2014	German	SF03	Schriege	F1	P1	Standard	g	velar	voiced	i	preceding vowel duration in ms	101
Grawunder_2014	German	SF03	Schrieke	F1	P1	Standard	k	velar	voiceless	i	preceding vowel duration in ms	87
Grawunder_2014	German	SF06	Schrieke	M1	P1	Standard	k	velar	voiceless	i	preceding vowel duration in ms	38
Grawunder_2014	German	SF06	Schriege	M1	P1	Standard	g	velar	voiced	i	preceding vowel duration in ms	80
Grawunder_2014	German	SM01	Schriege	F1	P1	Standard	g	velar	voiced	i	preceding vowel duration in ms	184
Grawunder_2014	German	SM01	Schrieke	F1	P1	Standard	k	velar	voiceless	i	preceding vowel duration in ms	116
Grawunder_2014	German	SM02	Schrieke	F1	P1	Standard	k	velar	voiceless	i	preceding vowel duration in ms	85
Grawunder_2014	German	SM02	Schriege	F1	P1	Standard	g	velar	voiced	i	preceding vowel duration in ms	117
Grawunder_2014	German	SM03	Schrieke	M1	P1	Standard	k	velar	voiceless	i	preceding vowel duration in ms	130
Grawunder_2014	German	SM03	Schriege	M1	P1	Standard	g	velar	voiced	i	preceding vowel duration in ms	170
Grawunder_2014	German	SM04	Schriege	F1	P1	Standard	g	velar	voiced	i	preceding vowel duration in ms	76
Grawunder_2014	German	SM04	Schrieke	F1	P1	Standard	k	velar	voiceless	i	preceding vowel duration in ms	78
Grawunder_2014	German	SM10	Schrieke	M1	P1	Standard	k	velar	voiceless	i	preceding vowel duration in ms	95
Grawunder_2014	German	SM10	Schriege	M1	P1	Standard	g	velar	voiced	i	preceding vowel duration in ms	293
Grawunder_2014	Austrian German	TF04	Schrieke	F1	P1	Tirol	k	velar	voiceless	i	preceding vowel duration in ms	122
Grawunder_2014	Austrian German	TF04	Schriege	F1	P1	Tirol	g	velar	voiced	i	preceding vowel duration in ms	114
Grawunder_2014	Austrian German	TF05	Schrieke	F1	P1	Tirol	k	velar	voiceless	i	preceding vowel duration in ms	121
Grawunder_2014	Austrian German	TF05	Schriege	F1	P1	Tirol	g	velar	voiced	i	preceding vowel duration in ms	149
Grawunder_2014	Austrian German	TF08	Schrieke	F1	P1	Tirol	k	velar	voiceless	i	preceding vowel duration in ms	80
Grawunder_2014	Austrian German	TF08	Schriege	F1	P1	Tirol	g	velar	voiced	i	preceding vowel duration in ms	121
Grawunder_2014	Austrian German	TF09	Schrieke	M1	P1	Tirol	k	velar	voiceless	i	preceding vowel duration in ms	149
Grawunder_2014	Austrian German	TF09	Schriege	M1	P1	Tirol	g	velar	voiced	i	preceding vowel duration in ms	180
Grawunder_2014	Austrian German	TM05	Schrieke	F1	P1	Tirol	k	velar	voiceless	i	preceding vowel duration in ms	116
Grawunder_2014	Austrian German	TM05	Schriege	F1	P1	Tirol	g	velar	voiced	i	preceding vowel duration in ms	192
Grawunder_2014	Austrian German	TM06	Schriege	F1	P1	Tirol	g	velar	voiced	i	preceding vowel duration in ms	158
