publication	elicitation_method	material	prosodic_position	condition	dur	sd	subject	voicing	note	acoustic_cue	N
Piroth_Janker_2004	read list	embedded	syllable-final	2	106	45	1	voiceless	averaged over 13 words (including fricatives), 3 repetitions	preceding vowel duration in ms	39
Piroth_Janker_2004	read list	embedded	syllable-final	2	107	42	1	voiced	averaged over 13 words (including fricatives), 3 repetitions	preceding vowel duration in ms	39
Piroth_Janker_2004	read list	embedded	syllable-final	2	104	37	2	voiceless	averaged over 13 words (including fricatives), 3 repetitions	preceding vowel duration in ms	39
Piroth_Janker_2004	read list	embedded	syllable-final	2	115	36	2	voiced	averaged over 13 words (including fricatives), 3 repetitions	preceding vowel duration in ms	39
Piroth_Janker_2004	read list	embedded	syllable-final	2	120	41	3	voiceless	averaged over 13 words (including fricatives), 3 repetitions	preceding vowel duration in ms	39
Piroth_Janker_2004	read list	embedded	syllable-final	2	132	41	3	voiced	averaged over 13 words (including fricatives), 3 repetitions	preceding vowel duration in ms	39
Piroth_Janker_2004	read list	embedded	syllable-final	2	107	32	4	voiceless	averaged over 13 words (including fricatives), 3 repetitions	preceding vowel duration in ms	39
Piroth_Janker_2004	read list	embedded	syllable-final	2	123	33	4	voiced	averaged over 13 words (including fricatives), 3 repetitions	preceding vowel duration in ms	39
Piroth_Janker_2004	read list	embedded	syllable-final	2	107	36	5	voiceless	averaged over 13 words (including fricatives), 3 repetitions	preceding vowel duration in ms	39
Piroth_Janker_2004	read list	embedded	syllable-final	2	117	44	5	voiced	averaged over 13 words (including fricatives), 3 repetitions	preceding vowel duration in ms	39
Piroth_Janker_2004	read list	embedded	syllable-final	2	103	46	6	voiceless	averaged over 13 words (including fricatives), 3 repetitions	preceding vowel duration in ms	39
Piroth_Janker_2004	read list	embedded	syllable-final	2	107	45	6	voiced	averaged over 13 words (including fricatives), 3 repetitions	preceding vowel duration in ms	39
Piroth_Janker_2004	read list	embedded	syllable-final	3	111	45	1	voiceless	averaged over 13 words (including fricatives), 3 repetitions	preceding vowel duration in ms	39
Piroth_Janker_2004	read list	embedded	syllable-final	3	119	41	1	voiced	averaged over 13 words (including fricatives), 3 repetitions	preceding vowel duration in ms	39
Piroth_Janker_2004	read list	embedded	syllable-final	3	107	37	2	voiceless	averaged over 13 words (including fricatives), 3 repetitions	preceding vowel duration in ms	39
Piroth_Janker_2004	read list	embedded	syllable-final	3	129	44	2	voiced	averaged over 13 words (including fricatives), 3 repetitions	preceding vowel duration in ms	39
Piroth_Janker_2004	read list	embedded	syllable-final	3	118	42	3	voiceless	averaged over 13 words (including fricatives), 3 repetitions	preceding vowel duration in ms	39
Piroth_Janker_2004	read list	embedded	syllable-final	3	131	42	3	voiced	averaged over 13 words (including fricatives), 3 repetitions	preceding vowel duration in ms	39
Piroth_Janker_2004	read list	embedded	syllable-final	3	118	41	4	voiceless	averaged over 13 words (including fricatives), 3 repetitions	preceding vowel duration in ms	39
Piroth_Janker_2004	read list	embedded	syllable-final	3	125	38	4	voiced	averaged over 13 words (including fricatives), 3 repetitions	preceding vowel duration in ms	39
Piroth_Janker_2004	read list	embedded	syllable-final	3	110	50	5	voiceless	averaged over 13 words (including fricatives), 3 repetitions	preceding vowel duration in ms	39
Piroth_Janker_2004	read list	embedded	syllable-final	3	118	35	5	voiced	averaged over 13 words (including fricatives), 3 repetitions	preceding vowel duration in ms	39
Piroth_Janker_2004	read list	embedded	syllable-final	3	109	43	6	voiceless	averaged over 13 words (including fricatives), 3 repetitions	preceding vowel duration in ms	39
Piroth_Janker_2004	read list	embedded	syllable-final	3	112	40	6	voiced	averaged over 13 words (including fricatives), 3 repetitions	preceding vowel duration in ms	39
Piroth_Janker_2004	read list	embedded	word-final	4	127	44	1	voiceless	averaged over 13 words (including fricatives), 3 repetitions	preceding vowel duration in ms	39
