publication	condition	elicitation_method	material	prosodic_position	stimuli	pair	voicing	acoustic_cue	dur	sd	note	N
Port_Crawford_1989	1A	read list	embedded	word-final	Bund 	1	voiced	burst duration in ms	7.07	14.35	pooled across speakers	5
Port_Crawford_1989	1B	repeat	embedded	word-final	Bund 	1	voiced	burst duration in ms	4.73	6.38	pooled across speakers	5
Port_Crawford_1989	2	read contrastive	embedded	phrase-final	Bund 	1	voiced	burst duration in ms	36.22	17.4	pooled across speakers	5
Port_Crawford_1989	3	dictate contrastive	embedded	mixed	Bund 	1	voiced	burst duration in ms	45.28	39.61	pooled across speakers	5
Port_Crawford_1989	4	read list	isolated words	phrase-final	Bund 	1	voiced	burst duration in ms	48.62	34.54	pooled across speakers	5
Port_Crawford_1989	1A	read list	embedded	word-final	Bund 	1	voiced	closure voicing in pulses	1.9	1.29	pooled across speakers	5
Port_Crawford_1989	1B	repeat	embedded	word-final	Bund 	1	voiced	closure voicing in pulses	3	1.15	pooled across speakers	5
Port_Crawford_1989	2	read contrastive	embedded	phrase-final	Bund 	1	voiced	closure voicing in pulses	1.6	0.75	pooled across speakers	5
Port_Crawford_1989	3	dictate contrastive	embedded	mixed	Bund 	1	voiced	closure voicing in pulses	1.3	0.57	pooled across speakers	5
Port_Crawford_1989	4	read list	isolated words	phrase-final	Bund 	1	voiced	closure voicing in pulses	1.35	0.59	pooled across speakers	5
Port_Crawford_1989	1A	read list	embedded	word-final	Bund 	1	voiced	clusure duration in ms	18.5	12.46	pooled across speakers	5
Port_Crawford_1989	1B	repeat	embedded	word-final	Bund 	1	voiced	clusure duration in ms	20.46	10.95	pooled across speakers	5
Port_Crawford_1989	2	read contrastive	embedded	phrase-final	Bund 	1	voiced	clusure duration in ms	32.28	18.14	pooled across speakers	5
Port_Crawford_1989	3	dictate contrastive	embedded	mixed	Bund 	1	voiced	clusure duration in ms	40.74	21.12	pooled across speakers	5
Port_Crawford_1989	4	read list	isolated words	phrase-final	Bund 	1	voiced	clusure duration in ms	54.33	20.34	pooled across speakers	5
Port_Crawford_1989	1A	read list	embedded	word-final	Bund 	1	voiced	nasal duration in ms	60.23	14.5	pooled across speakers	5
Port_Crawford_1989	1B	repeat	embedded	word-final	Bund 	1	voiced	nasal duration in ms	59.84	11.41	pooled across speakers	5
Port_Crawford_1989	2	read contrastive	embedded	phrase-final	Bund 	1	voiced	nasal duration in ms	98.43	15.49	pooled across speakers	5
Port_Crawford_1989	3	dictate contrastive	embedded	mixed	Bund 	1	voiced	nasal duration in ms	139.17	31.61	pooled across speakers	5
Port_Crawford_1989	4	read list	isolated words	phrase-final	Bund 	1	voiced	nasal duration in ms	129.96	40.37	pooled across speakers	5
Port_Crawford_1989	1A	read list	embedded	word-final	Bund 	1	voiced	preceding vowel duration in ms	72.44	12.2	pooled across speakers	5
Port_Crawford_1989	1B	repeat	embedded	word-final	Bund 	1	voiced	preceding vowel duration in ms	71.25	8.6	pooled across speakers	5
Port_Crawford_1989	2	read contrastive	embedded	phrase-final	Bund 	1	voiced	preceding vowel duration in ms	97.63	14.08	pooled across speakers	5
Port_Crawford_1989	3	dictate contrastive	embedded	mixed	Bund 	1	voiced	preceding vowel duration in ms	112.8	14.66	pooled across speakers	5
Port_Crawford_1989	4	read list	isolated words	phrase-final	Bund 	1	voiced	preceding vowel duration in ms	131.5	28.69	pooled across speakers	5
Port_Crawford_1989	1A	read list	embedded	word-final	bunt	1	voiceless	burst duration in ms	2.76	3.24	pooled across speakers	5
Port_Crawford_1989	1B	repeat	embedded	word-final	bunt	1	voiceless	burst duration in ms	6.3	7.92	pooled across speakers	5
Port_Crawford_1989	2	read contrastive	embedded	phrase-final	bunt	1	voiceless	burst duration in ms	48.43	23	pooled across speakers	5
Port_Crawford_1989	3	dictate contrastive	embedded	mixed	bunt	1	voiceless	burst duration in ms	82.68	40.67	pooled across speakers	5
Port_Crawford_1989	4	read list	isolated words	phrase-final	bunt	1	voiceless	burst duration in ms	89.17	39.08	pooled across speakers	5
Port_Crawford_1989	1A	read list	embedded	word-final	bunt	1	voiceless	closure voicing in pulses	2.6	1.17	pooled across speakers	5
Port_Crawford_1989	1B	repeat	embedded	word-final	bunt	1	voiceless	closure voicing in pulses	2.6	1.08	pooled across speakers	5
Port_Crawford_1989	2	read contrastive	embedded	phrase-final	bunt	1	voiceless	closure voicing in pulses	1.8	0.89	pooled across speakers	5
