publication	study	subject	item	voicing	usable	vowel_dur	comment
Roettger_etal_2014	1	15	staug	voiced	usable	175.348118	
Roettger_etal_2014	1	15	rok	voiceless	usable	142.93876	
Roettger_etal_2014	1	15	schuk	voiceless	usable	103.278765	
Roettger_etal_2014	1	15	quad	voiced	not_usable	198.189655	[kw] nicht nativer kluster
Roettger_etal_2014	1	15	jiet	voiceless	usable	134.959224	
Roettger_etal_2014	1	15	gaud	voiced	usable	200.714031	
Roettger_etal_2014	1	15	flap	voiceless	usable	170.130933	
Roettger_etal_2014	1	15	quop	voiceless	usable	146.76317	
Roettger_etal_2014	1	15	prieg	voiced	not_usable	151.648318	VQ e; deaccented?
Roettger_etal_2014	1	15	mub	voiced	usable	107.40031	
Roettger_etal_2014	1	15	pruk	voiceless	usable	100.458557	
Roettger_etal_2014	1	15	frub	voiced	usable	117.057011	
Roettger_etal_2014	1	15	wieb	voiced	usable	136.206486	
Roettger_etal_2014	1	15	gag	voiced	usable	228.448597	
Roettger_etal_2014	1	15	klap	voiceless	usable	156.441999	
Roettger_etal_2014	1	15	naug	voiced	usable	157.125253	
Roettger_etal_2014	1	15	schriek	voiceless	usable	105.487716	
Roettger_etal_2014	1	15	drut	voiceless	usable	148.074257	
Roettger_etal_2014	1	15	blot	voiceless	usable	141.7069	
Roettger_etal_2014	1	15	frad	voiced	usable	211.652844	
Roettger_etal_2014	1	15	gob	voiced	usable	135.252969	
Roettger_etal_2014	1	15	gried	voiced	usable	155.555983	
Roettger_etal_2014	1	15	schmaup	voiceless	usable	138.796941	
Roettger_etal_2014	1	15	frok	voiceless	usable	155.498907	
Roettger_etal_2014	1	15	prug	voiced	not_usable	147.518519	VQ o
Roettger_etal_2014	1	15	stauk	voiceless	usable	171.062534	
Roettger_etal_2014	1	15	quat	voiceless	not_usable	219.898867	[kw] nicht nativer Kluster wie in Quad, also ok (?)
Roettger_etal_2014	1	15	schug	voiced	usable	167.973673	
Roettger_etal_2014	1	15	gaut	voiceless	usable	187.405014	
Roettger_etal_2014	1	15	mup	voiceless	usable	146.314622	
Roettger_etal_2014	1	15	frup	voiceless	usable	106.084614	
Roettger_etal_2014	1	15	flab	voiced	usable	129.194826	
Roettger_etal_2014	1	15	quob	voiced	usable	178.12078	
Roettger_etal_2014	1	15	jied	voiced	usable	167.128283	VQ e
Roettger_etal_2014	1	15	rog	voiced	usable	153.487563	
Roettger_etal_2014	1	15	priek	voiceless	not_usable	108.600143	VQ e + hesitation befor target
Roettger_etal_2014	1	15	wiep	voiceless	usable	104.455177	
Roettger_etal_2014	1	15	gop	voiceless	usable	148.72101	
Roettger_etal_2014	1	15	griet	voiceless	usable	146.059932	
Roettger_etal_2014	1	15	nauk	voiceless	usable	137.654356	
Roettger_etal_2014	1	15	schrieg	voiced	usable	125.161569	
Roettger_etal_2014	1	15	frog	voiced	usable	140.695857	
Roettger_etal_2014	1	15	schmaub	voiced	usable	128.149771	
Roettger_etal_2014	1	15	blod	voiced	usable	163.672235	
Roettger_etal_2014	1	15	gak	voiceless	usable	206.035576	
Roettger_etal_2014	1	15	drud	voiced	usable	141.823447	
Roettger_etal_2014	1	15	frat	voiceless	usable	168.989158	
Roettger_etal_2014	1	15	klab	voiced	usable	161.983401	
Roettger_etal_2014	1	6	prug	voiced	not_usable	91.014535	Prok
Roettger_etal_2014	1	6	rog	voiced	usable	106.513483	
Roettger_etal_2014	1	6	quob	voiced	usable	102.215491	cant detect bo
Roettger_etal_2014	1	6	priek	voiceless	usable	107.153578	
Roettger_etal_2014	1	6	stauk	voiceless	usable	147.079199	
Roettger_etal_2014	1	6	quat	voiceless	usable	160.884608	
Roettger_etal_2014	1	6	frup	voiceless	usable	60.366425	cant detect burst
Roettger_etal_2014	1	6	flab	voiced	usable	129.185354	
Roettger_etal_2014	1	6	jied	voiced	not_usable	98.269101	VQ e
Roettger_etal_2014	1	6	schug	voiced	usable	83.59683	
Roettger_etal_2014	1	6	mup	voiceless	usable	81.437965	
Roettger_etal_2014	1	6	gaut	voiceless	usable	175.505628	
Roettger_etal_2014	1	6	gak	voiceless	usable	147.930989	Rauschen
Roettger_etal_2014	1	6	griet	voiceless	usable	109.27734	
Roettger_etal_2014	1	6	klab	voiced	usable	132.735688	cant detect bo
Roettger_etal_2014	1	6	wiep	voiceless	usable	96.192238	
Roettger_etal_2014	1	6	frog	voiced	usable	109.959781	
Roettger_etal_2014	1	6	gop	voiceless	usable	116.572164	
Roettger_etal_2014	1	6	frat	voiceless	usable	154.961257	
Roettger_etal_2014	1	6	blod	voiced	usable	137.701213	
Roettger_etal_2014	1	6	schrieg	voiced	usable	104.810023	
Roettger_etal_2014	1	6	nauk	voiceless	usable	147.386048	
Roettger_etal_2014	1	6	drud	voiced	not_usable	130.042039	VQ o ~ u
Roettger_etal_2014	1	6	schmaub	voiced	usable	122.20974	
Roettger_etal_2014	1	6	quad	voiced	usable	152.983431	
Roettger_etal_2014	1	6	frub	voiced	usable	94.677588	
Roettger_etal_2014	1	6	quop	voiceless	usable	122.106124	bw_release
Roettger_etal_2014	1	6	staug	voiced	usable	162.746401	
Roettger_etal_2014	1	6	pruk	voiceless	usable	76.9024	
Roettger_etal_2014	1	6	prieg	voiced	usable	98.061049	
Roettger_etal_2014	1	6	mub	voiced	usable	110.731443	NO RELEASE?
Roettger_etal_2014	1	6	flap	voiceless	not_usable	137.714946	q
Roettger_etal_2014	1	6	schuk	voiceless	usable	87.1483	
Roettger_etal_2014	1	6	rok	voiceless	usable	108.546424	
Roettger_etal_2014	1	6	gaud	voiced	usable	192.044382	
Roettger_etal_2014	1	6	jiet	voiceless	usable	87.240181	
Roettger_etal_2014	1	6	wieb	voiced	usable	95.284917	
Roettger_etal_2014	1	6	gried	voiced	not_usable	133.457649	VQ e
Roettger_etal_2014	1	6	drut	voiceless	usable	133.479885	
Roettger_etal_2014	1	6	frad	voiced	usable	158.20243	
Roettger_etal_2014	1	6	blot	voiceless	usable	153.90014	
Roettger_etal_2014	1	6	gob	voiced	usable	130.65892	creaky voice
Roettger_etal_2014	1	6	schmaup	voiceless	usable	134.124316	
Roettger_etal_2014	1	6	schriek	voiceless	not_usable	114.44152	VQ i  ~ e
Roettger_etal_2014	1	6	naug	voiced	usable	183.975564	
Roettger_etal_2014	1	6	frok	voiceless	usable	120.407071	
Roettger_etal_2014	1	6	gag	voiced	usable	194.276682	
Roettger_etal_2014	1	6	klap	voiceless	usable	142.268259	cant detect bo; set sg
Roettger_etal_2014	1	11	wiep	voiceless	usable	123.028322	
Roettger_etal_2014	1	11	griet	voiceless	usable	135.936703	
Roettger_etal_2014	1	11	schrieg	voiced	usable	117.728517	
Roettger_etal_2014	1	11	nauk	voiceless	usable	209.665562	
Roettger_etal_2014	1	11	klab	voiced	usable	151.226259	
Roettger_etal_2014	1	11	drud	voiced	usable	115.178414	
Roettger_etal_2014	1	11	blod	voiced	usable	144.545726	
Roettger_etal_2014	1	11	frog	voiced	usable	127.609191	
Roettger_etal_2014	1	11	frat	voiceless	usable	135.611439	
Roettger_etal_2014	1	11	schmaub	voiced	usable	129.539211	NO RELEASE
Roettger_etal_2014	1	11	gop	voiceless	usable	114.739251	NO RELEASE
Roettger_etal_2014	1	11	gak	voiceless	usable	201.44192	
Roettger_etal_2014	1	11	staug	voiced	usable	147.951661	
Roettger_etal_2014	1	11	schuk	voiceless	usable	90.390766	
Roettger_etal_2014	1	11	pruk	voiceless	usable	121.889552	
Roettger_etal_2014	1	11	quad	voiced	usable	167.85545	
Roettger_etal_2014	1	11	gaud	voiced	usable	171.905893	
Roettger_etal_2014	1	11	mub	voiced	usable	100.006447	NO RELEASE
Roettger_etal_2014	1	11	jiet	voiceless	usable	73.806037	
Roettger_etal_2014	1	11	flap	voiceless	usable	124.337986	NO RELEASE
Roettger_etal_2014	1	11	rok	voiceless	usable	108.168238	
Roettger_etal_2014	1	11	quop	voiceless	usable	100.422462	NO RELEASE
Roettger_etal_2014	1	11	frub	voiced	usable	83.235853	NO RELEASE
Roettger_etal_2014	1	11	prieg	voiced	usable	86.689929	
Roettger_etal_2014	1	11	wieb	voiced	usable	131.700098	
Roettger_etal_2014	1	11	gob	voiced	usable	121.941065	NO RELEASE
Roettger_etal_2014	1	11	frok	voiceless	usable	96.396883	
Roettger_etal_2014	1	11	schriek	voiceless	usable	108.687378	
Roettger_etal_2014	1	11	naug	voiced	usable	172.065858	
Roettger_etal_2014	1	11	klap	voiceless	usable	140.420104	NO RELEASE
Roettger_etal_2014	1	11	drut	voiceless	usable	127.631687	
Roettger_etal_2014	1	11	gried	voiced	usable	130.720963	
Roettger_etal_2014	1	11	schmaup	voiceless	not_usable	149.999686	WRONG CONSONANT
Roettger_etal_2014	1	11	blot	voiceless	usable	154.267705	
Roettger_etal_2014	1	11	gag	voiced	usable	199.398241	
Roettger_etal_2014	1	11	frad	voiced	usable	163.255797	
Roettger_etal_2014	1	11	stauk	voiceless	usable	157.02873	
Roettger_etal_2014	1	11	quat	voiceless	usable	179.827633	
Roettger_etal_2014	1	11	schug	voiced	usable	113.090398	
Roettger_etal_2014	1	11	priek	voiceless	usable	118.579747	
Roettger_etal_2014	1	11	rog	voiced	usable	136.614809	
Roettger_etal_2014	1	11	gaut	voiceless	usable	198.777661	
Roettger_etal_2014	1	11	prug	voiced	usable	112.036681	
Roettger_etal_2014	1	11	frup	voiceless	usable	110.257591	NO RELEASE
Roettger_etal_2014	1	11	flab	voiced	usable	147.027017	NO RELEASE
Roettger_etal_2014	1	11	quob	voiced	usable	120.065977	NO RELEASE
Roettger_etal_2014	1	11	jied	voiced	not_usable	113.118281	VQ e
Roettger_etal_2014	1	11	mup	voiceless	usable	137.011564	
Roettger_etal_2014	1	7	quob	voiced	usable	129.620307	NO RELEASE?; set sg
Roettger_etal_2014	1	7	frup	voiceless	usable	71.492519	
Roettger_etal_2014	1	7	gaut	voiceless	usable	198.919071	
Roettger_etal_2014	1	7	stauk	voiceless	usable	169.305541	
Roettger_etal_2014	1	7	mup	voiceless	usable	102.676595	
Roettger_etal_2014	1	7	prug	voiced	usable	129.949985	
Roettger_etal_2014	1	7	rog	voiced	usable	161.868311	
Roettger_etal_2014	1	7	flab	voiced	usable	152.482991	NO RELEASE?
Roettger_etal_2014	1	7	schug	voiced	usable	128.33501	
Roettger_etal_2014	1	7	jied	voiced	not_usable	129.583059	VQ e
Roettger_etal_2014	1	7	quat	voiceless	usable	191.29576	
Roettger_etal_2014	1	7	priek	voiceless	not_usable	167.800723	VQ e
Roettger_etal_2014	1	7	gob	voiced	usable	179.730667	
Roettger_etal_2014	1	7	wieb	voiced	usable	121.010349	
Roettger_etal_2014	1	7	schmaup	voiceless	usable	163.018373	NO RELEASE?; cant detect bo
Roettger_etal_2014	1	7	drut	voiceless	usable	121.180532	
Roettger_etal_2014	1	7	gag	voiced	usable	182.065133	
Roettger_etal_2014	1	7	naug	voiced	usable	177.440603	
Roettger_etal_2014	1	7	gried	voiced	not_usable	129.608928	VQ e ~ i
Roettger_etal_2014	1	7	frok	voiceless	usable	135.443947	
Roettger_etal_2014	1	7	frad	voiced	usable	169.009378	NO RELEASE?
Roettger_etal_2014	1	7	blot	voiceless	usable	154.686864	
Roettger_etal_2014	1	7	schriek	voiceless	usable	127.910996	
Roettger_etal_2014	1	7	klap	voiceless	usable	162.272803	
Roettger_etal_2014	1	7	quop	voiceless	usable	150.987	
Roettger_etal_2014	1	7	staug	voiced	usable	193.674351	
Roettger_etal_2014	1	7	rok	voiceless	usable	128.65546	
Roettger_etal_2014	1	7	gaud	voiced	usable	214.729966	
Roettger_etal_2014	1	7	prieg	voiced	usable	133.020088	
Roettger_etal_2014	1	7	jiet	voiceless	usable	129.833851	
Roettger_etal_2014	1	7	pruk	voiceless	usable	131.547316	
Roettger_etal_2014	1	7	frub	voiced	usable	109.580386	NO RELEASE?; whisper sound in /v/
Roettger_etal_2014	1	7	quad	voiced	usable	181.508176	
Roettger_etal_2014	1	7	mub	voiced	usable	108.388222	NO RELEASE?
Roettger_etal_2014	1	7	schuk	voiceless	usable	110.066147	
Roettger_etal_2014	1	7	flap	voiceless	usable	140.870678	POPPING IN CLOSURE
Roettger_etal_2014	1	7	drud	voiced	usable	146.95947	
Roettger_etal_2014	1	7	gak	voiceless	usable	188.032782	
Roettger_etal_2014	1	7	wiep	voiceless	usable	114.190106	POPPING IN CLOSURE; NO RELEASE?
Roettger_etal_2014	1	7	gop	voiceless	usable	142.628435	
Roettger_etal_2014	1	7	nauk	voiceless	usable	189.351663	
Roettger_etal_2014	1	7	klab	voiced	usable	143.934866	
Roettger_etal_2014	1	7	frat	voiceless	usable	158.513228	
Roettger_etal_2014	1	7	griet	voiceless	usable	133.63173	
Roettger_etal_2014	1	7	schrieg	voiced	usable	148.955188	
Roettger_etal_2014	1	7	blod	voiced	usable	154.881859	
Roettger_etal_2014	1	7	schmaub	voiced	usable	171.950339	
Roettger_etal_2014	1	7	frog	voiced	usable	150.758144	
Roettger_etal_2014	1	10	klab	voiced	usable	180.552746	
Roettger_etal_2014	1	10	drud	voiced	usable	164.071801	ambigue nucleus
Roettger_etal_2014	1	10	schmaub	voiced	usable	194.137391	NO RELEASE?
Roettger_etal_2014	1	10	frat	voiceless	usable	168.699	
Roettger_etal_2014	1	10	wiep	voiceless	usable	130.813055	ambigue nucleus
Roettger_etal_2014	1	10	gak	voiceless	usable	242.176535	ambigue nucleus
Roettger_etal_2014	1	10	gop	voiceless	usable	145.836332	v elided; ambigue nucleus
Roettger_etal_2014	1	10	frog	voiced	usable	173.3235	ambigue nucleus
Roettger_etal_2014	1	10	blod	voiced	usable	168.070396	ambigue nucleus
Roettger_etal_2014	1	10	griet	voiceless	usable	129.943453	
Roettger_etal_2014	1	10	schrieg	voiced	usable	113.850677	
Roettger_etal_2014	1	10	rog	voiced	usable	203.261833	ambigue nucleus
Roettger_etal_2014	1	10	frup	voiceless	usable	127.629755	
Roettger_etal_2014	1	10	quob	voiced	usable	127.290284	NO RELEASE?; kop; ambigue nucleus
Roettger_etal_2014	1	10	stauk	voiceless	usable	209.111571	
Roettger_etal_2014	1	10	flab	voiced	usable	156.287715	
Roettger_etal_2014	1	10	priek	voiceless	usable	140.331142	
Roettger_etal_2014	1	10	prug	voiced	usable	120.284935	ambigue nucleus
Roettger_etal_2014	1	10	mup	voiceless	usable	87.051807	ambigue nucleus
Roettger_etal_2014	1	10	gaut	voiceless	usable	197.775833	
Roettger_etal_2014	1	10	schug	voiced	usable	108.983436	ambigue nucleus
Roettger_etal_2014	1	10	quat	voiceless	usable	178.014425	
Roettger_etal_2014	1	10	naug	voiced	usable	219.173407	
Roettger_etal_2014	1	10	frok	voiceless	usable	136.353786	
Roettger_etal_2014	1	10	gag	voiced	usable	214.228138	
Roettger_etal_2014	1	10	frad	voiced	usable	195.617113	ambigue nucleus
Roettger_etal_2014	1	10	wieb	voiced	usable	129.224458	
Roettger_etal_2014	1	10	blot	voiceless	usable	175.648972	
