publication	study	subject	item	repetition	voicing	usable	vowel_dur	condition	comment
Roettger_etal_2014	2	1	baug	1	voiced	usable	162	A	Enhanced
Roettger_etal_2014	2	1	bauk	1	voiceless	usable	149	A	Enhanced
Roettger_etal_2014	2	1	beg	1	voiced	usable	153	A	Enhanced
Roettger_etal_2014	2	1	bek	1	voiceless	usable	128	A	Enhanced
Roettger_etal_2014	2	1	bleb	1	voiced	usable	129	D	Reversed
Roettger_etal_2014	2	1	blep	1	voiceless	usable	118	D	Reversed
Roettger_etal_2014	2	1	blog	1	voiced	usable	157	B	Normal
Roettger_etal_2014	2	1	blok	1	voiceless	usable	139	B	Normal
Roettger_etal_2014	2	1	dab	1	voiced	usable	154	C	Reduced
Roettger_etal_2014	2	1	dag	1	voiced	usable	166	C	Reduced
Roettger_etal_2014	2	1	dak	1	voiceless	usable	175	C	Reduced
Roettger_etal_2014	2	1	dap	1	voiceless	usable	162	C	Reduced
Roettger_etal_2014	2	1	dieg	1	voiced	usable	90	B	Normal
Roettger_etal_2014	2	1	diek	1	voiceless	usable	139	B	Normal
Roettger_etal_2014	2	1	dob	1	voiced	usable	150	D	Reversed
Roettger_etal_2014	2	1	dop	1	voiceless	usable	147	D	Reversed
Roettger_etal_2014	2	1	drub	1	voiced	usable	120	C	Reduced
Roettger_etal_2014	2	1	drup	1	voiceless	usable	93	C	Reduced
Roettger_etal_2014	2	1	dug	1	voiced	usable	126	B	Normal
Roettger_etal_2014	2	1	duk	1	voiceless	usable	89	B	Normal
Roettger_etal_2014	2	1	fag	1	voiced	usable	158	B	Normal
Roettger_etal_2014	2	1	fak	1	voiceless	usable	168	B	Normal
Roettger_etal_2014	2	1	faub	1	voiced	usable	108	B	Normal
Roettger_etal_2014	2	1	faup	1	voiceless	usable	140	B	Normal
Roettger_etal_2014	2	1	flab	1	voiced	usable	NA	A	Enhanced
Roettger_etal_2014	2	1	flap	1	voiceless	usable	NA	A	Enhanced
Roettger_etal_2014	2	1	fleb	1	voiced	usable	109	C	Reduced
Roettger_etal_2014	2	1	flep	1	voiceless	usable	140	C	Reduced
Roettger_etal_2014	2	1	freb	1	voiced	usable	122	A	Enhanced
Roettger_etal_2014	2	1	frep	1	voiceless	usable	138	A	Enhanced
Roettger_etal_2014	2	1	frob	1	voiced	usable	141	C	Reduced
Roettger_etal_2014	2	1	frog	1	voiced	usable	141	D	Reversed
Roettger_etal_2014	2	1	frok	1	voiceless	usable	140	D	Reversed
Roettger_etal_2014	2	1	frop	1	voiceless	usable	126	C	Reduced
Roettger_etal_2014	2	1	frub	1	voiced	usable	113	A	Enhanced
Roettger_etal_2014	2	1	frup	1	voiceless	usable	89	A	Enhanced
Roettger_etal_2014	2	1	gag	1	voiced	usable	153	D	Reversed
Roettger_etal_2014	2	1	gak	1	voiceless	usable	165	D	Reversed
Roettger_etal_2014	2	1	gaub	1	voiced	usable	144	C	Reduced
Roettger_etal_2014	2	1	gaug	1	voiced	usable	140	D	Reversed
Roettger_etal_2014	2	1	gauk	1	voiceless	usable	154	D	Reversed
Roettger_etal_2014	2	1	gaup	1	voiceless	usable	115	C	Reduced
Roettger_etal_2014	2	1	gleg	1	voiced	usable	155	C	Reduced
Roettger_etal_2014	2	1	glek	1	voiceless	usable	91	C	Reduced
Roettger_etal_2014	2	1	glieb	1	voiced	usable	114	C	Reduced
Roettger_etal_2014	2	1	gliep	1	voiceless	usable	122	C	Reduced
Roettger_etal_2014	2	1	gob	1	voiced	usable	124	B	Normal
Roettger_etal_2014	2	1	gop	1	voiceless	usable	137	B	Normal
Roettger_etal_2014	2	1	grieb	1	voiced	usable	116	B	Normal
Roettger_etal_2014	2	1	griep	1	voiceless	usable	126	B	Normal
Roettger_etal_2014	2	1	heg	1	voiced	usable	134	B	Normal
Roettger_etal_2014	2	1	hek	1	voiceless	usable	151	B	Normal
Roettger_etal_2014	2	1	klab	1	voiced	usable	149	B	Normal
Roettger_etal_2014	2	1	klap	1	voiceless	usable	117	B	Normal
Roettger_etal_2014	2	1	krob	1	voiced	usable	121	A	Enhanced
Roettger_etal_2014	2	1	krop	1	voiceless	usable	113	A	Enhanced
Roettger_etal_2014	2	1	mieb	1	voiced	usable	128	D	Reversed
Roettger_etal_2014	2	1	miep	1	voiceless	usable	110	D	Reversed
Roettger_etal_2014	2	1	naub	1	voiced	usable	172	D	Reversed
Roettger_etal_2014	2	1	naug	1	voiced	usable	171	C	Reduced
Roettger_etal_2014	2	1	nauk	1	voiceless	usable	170	C	Reduced
Roettger_etal_2014	2	1	naup	1	voiceless	usable	155	D	Reversed
Roettger_etal_2014	2	1	nug	1	voiced	usable	160	A	Enhanced
Roettger_etal_2014	2	1	nuk	1	voiceless	usable	116	A	Enhanced
Roettger_etal_2014	2	1	prieg	1	voiced	usable	96	A	Enhanced
Roettger_etal_2014	2	1	priek	1	voiceless	usable	144	A	Enhanced
Roettger_etal_2014	2	1	prug	1	voiced	usable	115	D	Reversed
Roettger_etal_2014	2	1	pruk	1	voiceless	usable	113	D	Reversed
Roettger_etal_2014	2	1	rog	1	voiced	usable	127	C	Reduced
Roettger_etal_2014	2	1	rok	1	voiceless	usable	140	C	Reduced
Roettger_etal_2014	2	1	schlab	1	voiced	usable	135	D	Reversed
Roettger_etal_2014	2	1	schlap	1	voiceless	usable	143	D	Reversed
Roettger_etal_2014	2	1	schmaub	1	voiced	usable	143	A	Enhanced
Roettger_etal_2014	2	1	schmaup	1	voiceless	usable	149	A	Enhanced
Roettger_etal_2014	2	1	schrieg	1	voiced	usable	142	D	Reversed
Roettger_etal_2014	2	1	schriek	1	voiceless	usable	105	D	Reversed
Roettger_etal_2014	2	1	schug	1	voiced	usable	85	C	Reduced
Roettger_etal_2014	2	1	schuk	1	voiceless	usable	100	C	Reduced
Roettger_etal_2014	2	1	spag	1	voiced	usable	178	A	Enhanced
Roettger_etal_2014	2	1	spak	1	voiceless	usable	153	A	Enhanced
Roettger_etal_2014	2	1	staug	1	voiced	usable	146	B	Normal
Roettger_etal_2014	2	1	stauk	1	voiceless	usable	122	B	Normal
